first,birthday,gender,zip,ccnumber,email,yn,pick
Isaiah,5/3/1961,Male,66758,6255094339465165,ati@dacugohe.lt,Y,3
Kenneth,4/18/2001,Male,69290,6376772661547148,duveg@sur.li,Y,1
Franklin,9/9/1967,Female,56671,5018418179357184,ara@akape.us,Y,3
Bobby,12/23/1956,Male,04207,6373054519209327,ze@rujeste.ao,Y,3
Cornelia,11/22/1969,Female,67686,5407277977707753,kinilu@zichib.sa,Y,5
Eric,4/6/1979,Male,75821,4026431099425976,we@dom.gm,N,3
Mary,7/20/1960,Female,20600,5460098086572464,ka@mujen.gd,Y,4
Earl,2/2/1999,Male,35912,5473345058807229,ziskatu@wihlur.nu,N,1
Alma,2/20/1985,Male,31592,5018561826623217,guwzaag@futka.ae,Y,3
Bobby,4/16/2001,Female,13735,6011452333391552,rozfumhus@ho.pw,N,4
Katie,1/19/1978,Female,68604,6279292511619854,dom@edu.im,Y,5
Mason,10/28/1963,Male,08864,30016010091163,nehnigok@mi.ge,Y,3
Marvin,3/25/1972,Female,20635,5180663254197979,ripow@difhor.va,N,3
Essie,5/21/1963,Male,22591,201460634241213,ro@kujso.bw,N,5
Lydia,1/18/1959,Male,49425,30044818199814,futzef@luim.eg,N,2
Ruby,1/11/1994,Female,40623,36378933313528,ulukef@ba.sn,N,1
Olive,7/29/1957,Male,35395,5610038011648806,zucsakoj@ralol.nr,N,2
Gavin,1/19/1987,Female,68568,4706575593456577,gohcegvoh@fuz.ax,N,5
Jeremiah,1/15/1975,Male,77777,5610956450020080,puhizor@kanape.gq,N,3
Catherine,9/24/1987,Female,47566,6379482881033302,ja@ti.sb,N,5
Roger,5/4/1981,Female,39502,5182312921147326,puokkos@fecik.ws,N,5
Emma,8/29/1991,Male,30276,6231134442998444,pawsu@vog.gg,Y,1
Celia,2/16/1988,Female,70792,4903350091585819,ji@daknalep.my,Y,4
Jacob,2/10/1982,Female,07001,201410978909123,waj@boc.pm,Y,1
Lenora,8/25/1961,Male,14732,3528922571462532,dedilo@tijkad.ps,Y,2
Josephine,4/21/1980,Male,91610,4622399057814150,wasmoze@kiki.com,N,3
Marian,3/9/1974,Female,36363,5018872919704594,wiin@jodiadu.mv,N,5
Effie,1/16/1968,Female,10385,5018088189441086,dof@ifuzakeci.nr,Y,4
Ian,5/4/1991,Male,60370,6334754943883591,nutru@lebagas.al,Y,4
Francis,9/9/1997,Male,73117,6304003222416111,ginmozji@mehownik.ht,Y,2
Stella,5/24/1955,Male,41864,6374862267535787,kab@irna.tc,Y,5
Essie,1/17/1975,Female,74552,6011479079967584,ofcif@eg.gq,N,5
Rodney,5/14/1977,Male,64749,3528848673236807,wacdebor@toh.bb,N,1
Emilie,7/12/1983,Female,32473,4791639297045973,fergufar@mukomig.iq,N,5
Marcus,2/24/1983,Male,25565,6372970245868394,bepat@fahihi.hm,N,1
Terry,4/17/1981,Male,77833,5139678934635695,buj@oc.il,Y,4
Alice,7/4/1999,Female,55474,6379648191798202,fopbo@ruwo.bb,Y,5
Teresa,11/11/1999,Female,54341,3528980969072164,zovpogo@nebvihkun.lr,N,2
Paul,11/28/1956,Male,78201,5498161223135581,ibu@zehwanab.pk,N,2
William,3/12/1979,Male,12898,6378944589561497,vikarze@zegopema.tp,Y,3
Laura,8/23/1973,Male,76463,6278812930363106,nofabe@azamuwjak.eg,Y,3
Miguel,1/11/1990,Female,64389,6370399866938090,erehop@we.ug,N,3
Landon,3/8/1967,Male,46323,201442397129611,odaepe@tiban.cm,N,2
Lura,10/14/1966,Female,36430,6334354702657516,ped@ajadozo.bb,Y,5
Jessie,8/21/1979,Male,72953,6304842491816547,imi@ec.cv,N,2
Michael,11/28/1960,Male,43884,4903792495398671,kohrow@ku.na,N,4
Ryan,11/18/1991,Male,63320,6334712875133617,uwaja@hijoli.is,N,2
Leo,5/5/2001,Male,07181,6376848314242558,bafru@nazgi.va,Y,4
Jayden,1/6/1965,Female,74705,6370405692600216,zu@cenpagro.vc,N,2
Maria,5/21/1989,Female,52669,4159247926430107,impuh@sehtophil.gy,N,4
Mittie,2/12/1992,Male,22315,4026278527135846,ovkev@vobiwaf.yt,Y,5
Estelle,11/15/1964,Male,26070,5610726676778013,kijag@famzani.pf,Y,3
Patrick,6/7/1983,Male,71718,6375343026506517,ebusemo@tiglirnih.su,N,4
Philip,5/12/1993,Male,05505,4903702945365725,vil@opigoge.co.uk,Y,3
Jonathan,2/28/1989,Male,31110,5402097875442005,wijivu@suhni.cx,N,5
Delia,3/10/1957,Male,66678,6304335496542143,omtohga@muwane.mo,N,4
Scott,12/2/1957,Male,12766,6376168885656759,rup@digdirraj.cf,N,5
Sara,6/13/1981,Female,86275,5118034366909585,busihi@nikkaltu.uz,N,2
Genevieve,12/29/1990,Female,23717,6373871554992073,vukduge@veze.ee,N,2
Augusta,2/16/1976,Male,35776,6304051589825820,le@we.mp,N,1
Sam,11/8/1975,Male,97557,6304037120466273,fi@woufmec.af,N,1
Loretta,9/13/1989,Female,20917,5107883842181042,se@lu.gh,N,1
Matilda,3/30/1989,Female,89940,6233807581492349,sagohca@jiw.lc,Y,1
Margaret,6/23/1991,Female,54025,5610691802870722,kehozse@vi.to,Y,5
Alma,11/27/1970,Female,12856,6373341945870479,ilzo@rirzuvroz.ge,Y,4
Elizabeth,1/23/1976,Male,52120,5018536789703750,tignok@tog.rw,Y,1
Brandon,5/11/1991,Female,11530,4026999975810826,kiptinuho@hi.mz,Y,1
Charlie,9/19/1996,Male,46619,6377325833696746,idu@di.kg,N,1
Ernest,12/22/1964,Male,88380,5188147727200778,fom@siguklo.bz,N,1
Alexander,8/23/1970,Male,02229,4968519163978746,gomjijo@kuwugleb.im,N,1
Russell,4/23/1962,Female,46572,6304222129805099,lo@moglijiz.sr,Y,5
Callie,3/5/1992,Female,02642,4026929071717328,gu@ridze.lu,Y,1
Chester,3/15/1986,Female,74174,5464068165122776,ci@weruw.td,Y,1
Brian,2/5/1970,Female,60531,6304300191618077,sim@cazeme.ke,Y,1
Lawrence,6/19/2000,Female,54828,201488196835296,si@oz.hn,N,3
Connor,6/22/1996,Female,40199,5407370903727480,ruj@ato.es,Y,5
Louis,9/27/1990,Male,17156,6011148662021378,pueka@afurofaw.my,Y,5
Nelle,12/5/2001,Female,54119,4231443998191832,mow@uche.re,Y,1
Adeline,5/11/1970,Male,57308,30051177461099,vajkapced@hiota.ax,N,1
