first,last,birthday,pick
Georgia,Powers,6/17/1982,5
Francis,Fernandez,7/31/1991,2
Helen,Baldwin,11/24/1955,2
Ronnie,Barber,6/7/1997,1
Jeanette,Wells,12/3/1965,1
Jeffrey,Welch,7/22/1976,5
Lulu,Davidson,9/30/1984,5
Harold,Fuller,4/6/1999,5
Ethan,Garner,10/17/1966,2
Evelyn,Diaz,11/15/1961,2
Violet,Neal,10/16/1974,1
Lillie,Hicks,3/8/1998,3
Jason,Chapman,12/23/1980,5
Roger,Brewer,9/10/1965,3
Ronald,Moreno,12/21/1984,5
Kate,Lynch,1/24/1997,5
Leona,Gibson,11/25/1998,1
Hulda,Wilson,7/12/1962,5
Glen,Franklin,7/26/2002,3
Dale,Massey,10/18/1996,1
Sara,Campbell,12/15/1955,2
Vernon,Manning,8/13/1993,3
Ophelia,Long,7/26/1965,3
Theodore,McCormick,2/8/1994,1
Madge,Terry,9/18/1982,2
Esther,Mills,9/27/1956,1
Sallie,Stephens,8/20/1961,2
Derek,Lynch,1/19/1970,3
Fanny,Stokes,12/20/1958,5
Ricardo,Benson,2/25/1978,4
Cole,Stewart,4/8/1990,3
Lenora,Bryan,11/15/1960,1
Don,Bridges,5/26/1982,2
Luella,Stanley,6/10/1970,4
Virginia,Holloway,4/7/1998,4
Joseph,Reynolds,4/9/1968,4
Marian,Dunn,8/11/1981,3
Marcus,Hale,11/23/1983,4
Caleb,Goodwin,3/9/1987,1
Francisco,Goodwin,3/12/1981,4
Maria,Walters,1/31/1988,5
Milton,Swanson,7/14/1983,2
Rosetta,Lane,10/17/1991,5
Susan,Rice,10/23/1987,4
Paul,Ruiz,5/20/1996,1
Corey,Brooks,11/29/1972,3
Jessie,Herrera,8/15/1988,2
Christopher,Pearson,10/26/1970,1
George,Cunningham,4/18/1968,2
Dean,Ruiz,10/25/1995,3
Garrett,Warner,5/7/1989,3
Jared,Perkins,1/24/1979,3
Olga,Barber,8/4/2002,5
Sarah,Craig,4/30/1981,3
Daisy,Adkins,7/15/1973,3
Hattie,Martin,5/31/1973,2
Ian,Vega,11/4/1982,3
Lola,Morris,9/17/1959,1
Amy,Murray,12/12/1981,1
Billy,Vega,5/13/1988,5
Ellen,Haynes,1/2/1992,3
Henrietta,Todd,5/26/1968,5
Helena,Peters,4/14/1986,3
Callie,Brady,9/30/1958,4
Earl,Hopkins,3/15/1968,1
Edith,Lowe,2/22/1965,2
Maggie,Lindsey,2/6/1955,3
Ida,Banks,11/17/1975,2
Fannie,Newman,7/17/1978,2
Lulu,Norton,8/13/1977,2
Olga,Lloyd,10/25/1970,2
Lela,Dixon,10/20/1968,1
Bessie,Ramos,8/21/1969,2
Lida,Zimmerman,8/26/1991,5
Sara,Cross,4/8/1974,5
Mae,Saunders,2/19/1960,2
Brandon,Love,5/23/1984,4
Jon,Russell,2/10/1988,4
Cory,Collier,11/20/1966,3
Leah,Reyes,12/30/1965,2
Mabelle,Edwards,11/10/1976,3
Delia,Diaz,10/6/1992,4
Sue,Franklin,3/27/1995,4
Wayne,Daniel,12/17/1969,3
Alberta,Glover,12/10/1967,2
David,Goodman,1/12/1961,2
Isabel,Greer,3/14/1985,4
Darrell,Edwards,12/28/1984,1
Angel,Moran,8/9/2000,3
Iva,Wade,11/12/1989,5
Jeanette,Sandoval,12/25/1984,5
Helen,Harper,7/19/1977,2
Florence,Burke,1/15/1996,1
Isaiah,Hart,5/13/1956,5
Johnny,King,10/16/2000,4
Zachary,Abbott,5/20/2002,4
Warren,Stevens,5/10/1980,3
Mayme,Wise,3/20/1967,5
Lloyd,Howell,2/5/1980,3
Virgie,Reynolds,5/17/1959,2
Victor,Franklin,2/7/1956,1
Oscar,Norris,3/15/1997,5
Philip,Moreno,10/7/1958,1
Jason,Lucas,5/25/1975,5
Ada,Mendez,3/10/1991,5
Nettie,Porter,8/18/1976,3
Bess,Garcia,10/6/1965,5
Caroline,Chapman,7/20/2001,3
Cynthia,Moran,1/16/1981,3
Estella,Luna,3/1/1983,5
Jerry,Kelley,3/13/1985,4
Earl,Porter,1/20/1956,3
Tom,McKinney,7/16/1998,5
Helena,Swanson,6/30/1972,4
Melvin,Curry,8/29/1978,3
Aiden,Gibson,6/6/1960,1
Nancy,Wilson,9/9/1973,4
Phillip,Welch,9/5/1955,5
Lucinda,Silva,11/19/1955,3
Paul,Martinez,2/11/1998,4
Cecilia,Maxwell,11/8/1962,1
Henrietta,Bass,7/22/1991,4
Cordelia,Francis,4/3/1957,5
Jordan,Bryant,1/25/1961,3
Carlos,Moran,7/15/1974,3
Lee,Zimmerman,10/2/1993,2
Donald,Hampton,2/15/2000,2
Isaac,Christensen,6/7/1958,3
Lucy,Ramos,8/23/1968,2
Raymond,Edwards,12/22/1960,3
Rosetta,Howell,5/26/1973,4
Robert,Bryan,9/14/1982,2
Clara,Ward,11/23/1968,5
Elizabeth,Perry,7/18/1996,5
Mollie,Page,1/20/1978,2
Lulu,Todd,2/9/1974,4
Dale,Lowe,3/2/1979,2
Lillie,Smith,12/22/1985,5
Tillie,Wolfe,8/22/1956,4
Warren,Carroll,9/27/1994,2
Herbert,Curry,9/2/1965,4
Clarence,Mathis,11/24/1966,1
